p_leak,tau,lens_type,lens_id,rm,stability,error
0.1,4,random,34,8.32667268469e-17,0.7048,0.2952
0.1,4,random,35,0.00512,0.5,0.475
0.1,4,random,36,0.0256,0.5,0.495
0.1,4,random,37,0.00512,0.5,0.475
0.1,4,random,38,0.0256,0.5,0.495
0.1,4,random,39,0.0256,0.5,0.495
0.1,4,random,4,0.00512,0.5,0.475
0.1,4,random,40,0.00512,0.5,0.475
0.1,4,random,41,0.0256,0.5,0.495
0.1,4,random,42,0.0256,0.5,0.495
0.1,4,random,43,8.32667268469e-17,0.7048,0.2952
0.1,4,random,44,0.0256,0.5,0.495
0.1,4,random,45,0.00512,0.5,0.475
0.1,4,random,46,8.32667268469e-17,0.7048,0.2952
0.1,4,random,47,0.00512,0.5,0.475
0.1,4,random,48,0.00512,0.5,0.475
0.1,4,random,49,0.0256,0.5,0.495
0.1,4,random,5,0.00512,0.5,0.475
0.1,4,random,50,0.00512,0.5,0.475
0.1,4,random,51,0.00512,0.5,0.475
0.1,4,random,52,0.0256,0.5,0.495
0.1,4,random,53,8.32667268469e-17,0.7048,0.2952
0.1,4,random,54,0.0256,0.5,0.495
0.1,4,random,55,0.00512,0.5,0.475
0.1,4,random,56,0.00512,0.5,0.475
0.1,4,random,57,0.0256,0.5,0.495
0.1,4,random,58,8.32667268469e-17,0.7048,0.2952
0.1,4,random,59,0.0256,0.5,0.495
0.1,4,random,6,8.32667268469e-17,0.7048,0.2952
0.1,4,random,7,8.32667268469e-17,0.7048,0.2952
0.1,4,random,8,8.32667268469e-17,0.7048,0.2952
0.1,4,random,9,0.0256,0.5,0.495
0.2,1,and,,0.173333333333,0.68,0.313333333333
0.2,1,parity,,0,0.8,0.2
0.2,1,random,0,0.02,0.5,0.45
0.2,1,random,1,0.02,0.5,0.45
0.2,1,random,10,0.1,0.5,0.49
0.2,1,random,11,0.02,0.5,0.45
0.2,1,random,12,0.02,0.5,0.45
0.2,1,random,13,0.1,0.5,0.49
0.2,1,random,14,0,0.8,0.2
